ID,PEOPLE_ID ,GENDER,BLOOD_ID ,CLASH,BIRTHDATE ,IS_ACTIVE
1,1289159783105,0,2,โรคหอบหืด,3/12/1997,1
2,1293536406094,1,3,-,30/4/1997,1
3,1218349962385,0,3,โรคภูมิแพ้,11/1/1997,1
4,1233435768245,1,4,-,27/8/1997,1
5,1271634235261,0,3,-,5/6/1997,1
6,1217718255084,0,3,โรคหอบหืด,27/12/1997,1
7,1263924056653,1,2,โรคหอบหืด,16/5/1997,1
8,1300303040091,1,4,-,6/12/1997,1
9,1224413272380,0,4,โรคภูมิแพ้,13/11/1997,1
10,1230580640358,1,1,-,4/5/1997,1
11,1265155810072,1,1,-,1/10/1997,1
12,1269921338279,0,1,โรคภูมิแพ้,20/10/1997,1
13,1248821609430,0,3,-,14/9/1997,1
14,1307284718693,0,3,-,30/10/1997,1
15,1280999175711,0,2,โรคหอบหืด,1/10/1997,1
16,1288783827624,0,4,โรคภูมิแพ้,6/3/1997,1
17,1244623367528,0,2,โรคหอบหืด,28/10/1997,1
18,1296719553333,0,2,-,3/6/1997,1
19,1212198318845,0,2,โรคภูมิแพ้,8/4/1997,1
20,1277254767927,1,2,ธาลัสซีเมีย,10/11/1997,1
21,1235015186955,0,1,-,20/10/1997,1
22,1248001896240,1,4,โรคหอบหืด,19/4/1997,1
23,1291885360547,1,2,-,1/7/1997,1
24,1248711238401,1,2,-,16/8/1997,1
25,1296513987394,1,1,โรคภูมิแพ้,22/6/1997,1
26,1286291274091,1,4,-,31/3/1997,1
27,1263448041042,0,3,-,9/4/1997,1
28,1269537424694,1,2,โรคภูมิแพ้,17/11/1997,1
29,1236383763562,1,4,-,20/12/1997,1
30,1253377365831,1,2,ธาลัสซีเมีย,15/3/1997,1
31,1285522274887,1,1,โรคหอบหืด,30/7/1997,1
32,1265078858693,1,4,โรคภูมิแพ้,28/11/1997,1
33,1276167110576,1,2,โรคหอบหืด,18/9/1997,1
34,1254796565691,0,3,-,18/5/1997,1
35,1253279353044,0,2,โรคภูมิแพ้,10/3/1997,1
36,1297609884042,0,1,-,25/10/1997,1
37,1214278087436,1,4,-,6/8/1997,1
38,1290488038566,0,4,โรคหอบหืด,18/6/1997,1
39,1273277669870,1,2,-,21/2/1997,1
40,1296317043736,0,4,โรคภูมิแพ้,24/4/1997,1
41,1275600194976,1,2,โรคภูมิแพ้,30/10/1997,1
42,1218829769141,0,1,-,19/3/1997,1
43,1230038768261,0,4,-,20/10/1997,1
44,1299872992461,1,3,โรคภูมิแพ้,23/10/1997,1
45,1229027859092,0,2,-,18/5/1997,1
46,1264224175793,1,2,-,11/12/1997,1
47,1234884347853,0,3,โรคหอบหืด,9/8/1997,1
48,1274100013560,0,4,โรคภูมิแพ้,15/2/1997,1
49,1298884009626,1,2,-,6/4/1997,1
50,1286813359080,1,2,-,8/10/1997,1
51,1233532243784,1,1,-,19/1/1997,1
52,1233482767831,0,2,-,26/2/1997,1
53,1304693716900,0,3,โรคภูมิแพ้,23/3/1997,1
54,1250721310536,0,4,-,7/1/1997,1
55,1227470636670,1,3,ธาลัสซีเมีย,20/1/1997,1
56,1215691574824,0,2,โรคหอบหืด,15/5/1997,1
57,1220005616867,1,3,โรคภูมิแพ้,1/1/1997,1
58,1307273781385,1,1,โรคหอบหืด,10/11/1997,1
59,1267743470820,0,4,-,19/1/1997,1
60,1278979527146,1,2,โรคภูมิแพ้,26/11/1997,1
61,1234861166951,1,3,-,21/6/1997,1
62,1233939510308,0,4,-,1/1/1997,1
63,1252212612942,0,2,โรคหอบหืด,3/9/1997,1
64,1228465929871,0,1,-,1/7/1997,1
65,1274428480112,0,4,โรคภูมิแพ้,16/8/1997,1
66,1230680654163,0,3,โรคภูมิแพ้,2/8/1997,1
67,1287205231148,1,1,-,29/5/1997,1
68,1234192705512,0,2,-,25/3/1997,1
69,1296877442738,1,4,โรคภูมิแพ้,28/1/1997,1
70,1240730086625,0,2,-,28/5/1997,1
71,1223719990393,1,4,-,20/12/1997,1
72,1237773564139,0,2,โรคหอบหืด,13/5/1997,1
73,1305334987046,0,3,โรคภูมิแพ้,9/8/1997,1
74,1277351552318,0,4,-,19/2/1997,1
75,1232304276717,1,4,-,11/1/1997,1
76,1257538264138,0,3,โรคหอบหืด,26/10/1997,1
77,1287630650748,1,4,-,25/7/1997,1
78,1248823571319,1,4,โรคภูมิแพ้,10/8/1997,1
79,1286401144390,0,2,-,4/2/1997,1
80,1264375304365,0,2,-,3/12/1997,1
81,1290151148411,1,1,โรคหอบหืด,15/3/1997,1
82,1246136438163,0,2,โรคหอบหืด,12/1/1997,1
83,1252992205862,0,2,-,5/8/1997,1
84,1246915126379,0,3,โรคภูมิแพ้,12/3/1997,1
85,1240650514418,1,3,-,8/6/1997,1
86,1219054328210,1,2,-,8/4/1997,1
87,1231433514216,1,4,โรคภูมิแพ้,31/3/1997,1
88,1305737921241,1,3,-,28/6/1997,1
89,1237395293142,0,1,-,3/11/1997,1
90,1283768431586,1,1,โรคหอบหืด,11/1/1997,1
91,1290284485460,1,4,โรคภูมิแพ้,8/3/1997,1
92,1254213348669,1,1,โรคหอบหืด,7/11/1997,1
93,1246003929347,1,3,-,9/11/1997,1
94,1299460891398,1,2,โรคภูมิแพ้,2/8/1997,1
95,1265267608553,1,1,ธาลัสซีเมีย,6/12/1997,1
96,1211596222006,0,3,-,30/3/1997,1
97,1211283202946,1,1,โรคหอบหืด,18/8/1997,1
98,1276254980547,0,4,-,5/6/1997,1
99,1249223772841,0,1,-,10/5/1997,1
100,1285773391802,0,4,โรคภูมิแพ้,14/3/1997,1
